mercado_name,mes,agente_name,vtpui_miles_millones_cop,recaudo_propio_miles_millones_cop,giros_recibidos_miles_millones_cop,pct_apalancamiento_cior,param_rcpui,param_competitivo,param_cfpui
,2026-05-01,ENEL COLOMBIA SA ESP,4.8008333514653176e-05,4.8008333514653176e-05,0,215316.74803315685,0.03,f,0.025
,2025-12-01,ENEL COLOMBIA SA ESP,4.994525115700333e-05,4.994525115700333e-05,0,213336.83760937492,0.03,f,0.025
,2026-06-01,ENEL COLOMBIA SA ESP,4.5610994654272526e-05,4.5610994654272526e-05,0,211060.81539850752,0.03,f,0.025
,2026-04-01,ENEL COLOMBIA SA ESP,4.279735792214866e-05,4.279735792214866e-05,0,209629.78242112685,0.03,f,0.025
,2025-07-01,ENEL COLOMBIA SA ESP,4.964382643268518e-05,4.964382643268518e-05,0,209361.99287207768,0.03,f,0.025
,2025-08-01,ENEL COLOMBIA SA ESP,4.729787388626644e-05,4.729787388626644e-05,0,209253.05148839115,0.03,f,0.025
,2025-01-01,ENEL COLOMBIA SA ESP,4.2512618664904403e-05,4.2512618664904403e-05,0,207334.68994108285,0.03,f,0.025
,2026-03-01,ENEL COLOMBIA SA ESP,4.8060959513161325e-05,4.8060959513161325e-05,0,206247.638132542,0.03,f,0.025
,2025-06-01,ENEL COLOMBIA SA ESP,4.759383748148064e-05,4.759383748148064e-05,0,204775.15312644077,0.03,f,0.025
,2024-07-01,ENEL COLOMBIA SA ESP,4.6611902569770575e-05,4.6611902569770575e-05,0,204283.66427846855,0.03,f,0.025
,2025-05-01,ENEL COLOMBIA SA ESP,4.8659027472075283e-05,4.8659027472075283e-05,0,203068.16779098686,0.03,f,0.025
,2024-12-01,ENEL COLOMBIA SA ESP,4.601383020311195e-05,4.601383020311195e-05,0,202806.39242619142,0.03,f,0.025
,2025-10-01,ENEL COLOMBIA SA ESP,4.8932025283697626e-05,4.8932025283697626e-05,0,202707.19916756434,0.03,f,0.025
,2025-11-01,ENEL COLOMBIA SA ESP,4.896206629956845e-05,4.896206629956845e-05,0,201555.90759810832,0.03,f,0.025
